fecha	valor
11/1974	1798.3
10/1974	2012.0
9/1974	1817.4
8/1974	1843.4
7/1974	1869.5
6/1974	1827.8
5/1974	2057.1
4/1974	1925.1
3/1974	1850.4
2/1974	1720.1
1/1974	1824.3
12/1973	1588.0
11/1973	1886.9
10/1973	1914.7
9/1973	1827.8
8/1973	1897.3
7/1973	1846.9
6/1973	1918.1
5/1973	1890.3
4/1973	1737.4
3/1973	1874.7
2/1973	1659.3
1/1973	1565.4
12/1972	1457.7
11/1972	1667.9
10/1972	1640.1
9/1972	1673.2
8/1972	1772.2
7/1972	1593.2
6/1972	1603.7
5/1972	1638.4
4/1972	1622.8
3/1972	1610.6
2/1972	1367.4
1/1972	1224.9
12/1971	1362.2
11/1971	1445.6
10/1971	1391.7
9/1971	1447.3
8/1971	1443.8
7/1971	1555.0
6/1971	1417.8
5/1971	1393.4
4/1971	1383.0
3/1971	1419.5
2/1971	1257.9
1/1971	1087.6
12/1970	1160.6
11/1970	1396.9
10/1970	1454.2
9/1970	1461.2
8/1970	1402.1
7/1970	1445.6
6/1970	1443.8
5/1970	1395.2
4/1970	1607.1
3/1970	1339.6
2/1970	1296.1
1/1970	1171.0
12/1969	1370.8
11/1969	1384.7
10/1969	1398.6
9/1969	1376.1
8/1969	1367.4
7/1969	1341.3
6/1969	1351.7
5/1969	1356.9
4/1969	1310.0
3/1969	1327.4
2/1969	1313.5
1/1969	1323.9
12/1968	1336.1
11/1968	1329.1
10/1968	1323.9
9/1968	1268.3
8/1968	1257.9
7/1968	1259.6
6/1968	1237.1
5/1968	1278.8
4/1968	1252.7
3/1968	1237.1
2/1968	1266.6
1/1968	1237.1
12/1967	1167.6
11/1967	1176.2
10/1967	1280.5
9/1967	1190.1
8/1967	1151.9
7/1967	1155.4
6/1967	1184.9
5/1967	1165.8
4/1967	1209.3
3/1967	1134.5
2/1967	1132.8
1/1967	1122.4
12/1966	1113.7
11/1966	1118.9
10/1966	1122.4
9/1966	1105.0
8/1966	1096.3
7/1966	1099.8
6/1966	1085.9
5/1966	1082.4
4/1966	1068.5
3/1966	1079.0
2/1966	1042.5
1/1966	1039.0
12/1965	1023.6
11/1965	1014.7
10/1965	986.9
9/1965	990.0
8/1965	990.3
